Date,Region,Product_Name,Category,Sub_Category,Product_ID,Sales_Units,Price_At_Time,Revenue,Stock_Level,Marketing_Spend,Social_Media_Influence_Score,Festival_Seasonality_Adjustment,Customer_Rating,Rolling_Avg_Sales
2023-06-30,North,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,18,170.0,3060.0,56,355.99,1.52,1.13,4.83,18
2023-06-30,South,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,37,170.0,6290.0,40,381.82,2.65,0.85,4.42,37
2023-06-30,West,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,15,170.0,2550.0,79,399.67,5.63,1.0,4.11,15
2023-06-30,North,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,27,170.0,4590.0,37,322.04,5.46,0.72,4.94,27
2023-06-30,South,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,27,170.0,4590.0,57,862.52,3.81,0.96,3.67,27
2023-06-30,West,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,19,170.0,3230.0,18,471.35,8.46,0.88,4.34,19
2023-06-30,North,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,35,170.0,5950.0,67,929.01,7.94,0.74,3.86,35
2023-06-30,South,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,26,170.0,4420.0,56,530.9,1.57,0.86,4.59,26
2023-06-30,West,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,23,170.0,3910.0,57,970.97,5.44,0.96,4.82,23
2023-06-30,North,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,10,170.0,1700.0,45,610.38,7.8,0.81,4.34,10
2023-06-30,South,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,27,170.0,4590.0,41,361.22,9.37,1.1,4.57,27
2023-06-30,West,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,26,170.0,4420.0,63,310.05,3.05,0.91,4.32,26
2023-06-30,North,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,34,170.0,5780.0,46,523.2,5.67,1.05,4.3,34
2023-06-30,South,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,29,170.0,4930.0,11,484.84,1.33,1.0,4.19,29
2023-06-30,West,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,18,170.0,3060.0,72,437.64,7.55,0.88,4.5,18
2023-06-30,North,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,24,170.0,4080.0,51,877.56,1.15,0.96,4.0,24
2023-06-30,South,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,36,170.0,6120.0,25,374.37,7.22,0.89,3.89,36
2023-06-30,West,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,26,170.0,4420.0,45,1097.22,9.1,1.02,3.71,26
2023-06-30,North,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,32,170.0,5440.0,66,209.2,1.91,1.03,4.95,32
2023-06-30,South,Aroma Magic Neem & Tea Tree Face Wash(100ml),Skincare,Cleansers,9000,34,170.0,5780.0,26,912.18,3.14,0.86,4.46,34
