Date,Region,Product_Name,Category,Sub_Category,Product_ID,Sales_Units,Price_At_Time,Revenue,Stock_Level,Marketing_Spend,Social_Media_Influence_Score,Festival_Seasonality_Adjustment,Customer_Rating,Rolling_Avg_Sales
2023-01-01,North,Sugar Smudge Me Not Liquid Lipstick - Scarlet,Makeup,Lipstick,2001,119,2127.71,253197.49,1137,5515.49,17.64,1.05,3.6,536
2023-01-01,West,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,666,1930.11,1285453.26,830,9680.26,11.59,1.05,4.36,626
2023-01-01,North,Purplle Kajal - Intense Black,Makeup,Mascara,2003,125,1490.65,186331.25,826,32256.97,61.13,1.05,4.36,418
2023-01-01,West,Sugar Aquaholic Hydrating Stick,Skincare,Moisturizer,2006,591,816.44,482516.04,999,17184.42,43.87,0.95,3.75,542
2023-01-01,Central,Sugar Smudge Me Not Liquid Lipstick - Scarlet,Makeup,Lipstick,2001,406,667.68,271078.08,1690,26844.08,13.37,1.0,4.42,576
2023-01-01,Central,Purplle Green Tea Face Wash,Skincare,Facewash,2007,239,712.34,170249.26,456,19353.71,90.1,1.02,3.6,547
2023-01-01,Central,Mars Liquid Highlighter - Golden Hour,Makeup,Highlighter,2005,353,339.9,119984.7,904,23774.09,38.47,0.82,4.62,544
2023-01-01,South,Sugar Aquaholic Hydrating Stick,Skincare,Moisturizer,2006,114,664.64,75768.96,1441,20781.15,42.33,0.81,4.55,580
2023-01-01,West,Purplle Green Tea Face Wash,Skincare,Facewash,2007,247,1480.81,365760.07,1344,14821.85,47.91,1.2,3.23,591
2023-01-01,North,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,130,298.18,38763.4,1149,23711.49,56.93,1.08,4.52,683
2023-01-01,Central,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,681,804.43,547816.83,1487,25927.79,24.51,0.91,3.27,600
2023-01-01,North,Purplle Good Vibes Rosehip Radiant Glow Face Serum,Skincare,Serum,2000,185,626.62,115924.7,612,2307.08,20.69,0.9,4.12,543
2023-01-01,South,Purplle Good Vibes Rosehip Radiant Glow Face Serum,Skincare,Serum,2000,198,939.85,186090.3,1418,26186.5,108.83,0.88,3.46,648
2023-01-01,Central,Mars Matte Look Lipstick - Fuchsia Flush,Makeup,Lipstick,2008,512,2121.15,1086028.8,1150,3079.66,81.27,1.19,3.57,622
2023-01-01,West,Purplle Good Vibes Rosehip Radiant Glow Face Serum,Skincare,Serum,2000,314,1513.8,475333.2,1611,25955.01,87.43,0.93,4.5,456
2023-01-01,West,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,382,1829.44,698846.08,1472,14193.89,67.93,1.1,4.1,470
2023-01-01,West,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,577,2149.96,1240526.92,1135,2780.54,54.27,1.22,3.14,668
2023-01-01,West,Mars Spectra Matte Foundation - Warm Beige,Makeup,Foundation,2002,722,1964.39,1418289.58,604,5236.58,31.58,0.8,3.93,605
2023-01-01,Central,Mars Liquid Highlighter - Golden Hour,Makeup,Highlighter,2005,518,634.3,328567.4,772,39934.84,47.6,1.19,3.77,629
2023-01-01,West,Sugar Eye Warned You So! Eyeliner - Black Swan,Makeup,Eyeliner,2009,682,322.48,219931.36,1079,31792.58,76.09,1.04,4.54,465
2023-01-01,North,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,235,1584.57,372373.95,875,11985.15,86.09,0.95,3.53,429
2023-01-01,North,Sugar Eye Warned You So! Eyeliner - Black Swan,Makeup,Eyeliner,2009,210,745.67,156590.7,939,23593.21,27.85,0.84,3.73,436
2023-01-01,West,Sugar Aquaholic Hydrating Stick,Skincare,Moisturizer,2006,595,379.46,225778.7,742,1536.96,24.42,1.23,4.32,507
2023-01-01,Central,Sugar Aquaholic Hydrating Stick,Skincare,Moisturizer,2006,420,955.46,401293.2,1254,25928.71,17.53,1.03,3.6,591
2023-01-01,West,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,146,1460.98,213303.08,1296,36451.61,75.09,0.83,3.2,528
2023-01-01,East,Sugar Eye Warned You So! Eyeliner - Black Swan,Makeup,Eyeliner,2009,692,1185.35,820262.2,1632,11707.63,54.72,0.91,3.06,616
2023-01-01,Central,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,632,1294.75,818282.0,609,27785.57,47.03,1.11,3.89,414
2023-01-01,West,Purplle Kajal - Intense Black,Makeup,Mascara,2003,273,1873.22,511389.06,1304,33079.76,99.22,1.03,3.83,645
2023-01-01,North,Purplle Good Vibes Rosehip Radiant Glow Face Serum,Skincare,Serum,2000,728,1304.11,949392.08,789,16249.43,36.58,0.93,3.26,409
2023-01-01,West,Mars Spectra Matte Foundation - Warm Beige,Makeup,Foundation,2002,686,1545.62,1060295.32,1254,9959.97,69.4,0.94,4.69,401
2023-01-01,West,Mars Spectra Matte Foundation - Warm Beige,Makeup,Foundation,2002,645,1933.0,1246785.0,919,36889.59,25.09,0.94,4.22,581
2023-01-01,South,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,487,1407.33,685369.71,772,15184.59,55.79,0.85,3.47,391
2023-01-01,Central,Purplle Kajal - Intense Black,Makeup,Mascara,2003,400,932.7,373080.0,747,34035.09,40.93,0.84,3.2,489
2023-01-01,South,Sugar Ace of Face Foundation Stick - Mocha,Makeup,Foundation,2004,639,272.57,174172.23,918,39862.31,94.05,1.09,3.59,429
2023-01-01,Central,Sugar Aquaholic Hydrating Stick,Skincare,Moisturizer,2006,676,1899.9,1284332.4,924,27808.44,100.0,1.24,3.34,436
2023-01-01,North,Sugar Smudge Me Not Liquid Lipstick - Scarlet,Makeup,Lipstick,2001,424,986.53,418288.72,805,27139.46,42.54,0.85,3.02,541
