Date,Region,Product_Name,Category,Sub_Category,Product_ID,Sales_Units,Price_At_Time,Revenue,Stock_Level,Marketing_Spend,Social_Media_Influence_Score,Festival_Seasonality_Adjustment,Customer_Rating,Rolling_Avg_Sales
2023-01-01,North,Nykaa SKINRX Hyaluronic Acid Moisturizer,Skincare,Moisturizer,1001,480,571.11,274132.8,1338,1661.16,86.69,0.99,3.31,692
2023-01-01,North,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,589,933.13,549613.57,1270,40051.85,79.08,1.18,3.74,406
2023-01-01,South,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,591,2027.26,1198110.66,718,1402.04,20.07,1.04,4.14,522
2023-01-01,Central,Nykaa SKINRX Hyaluronic Acid Moisturizer,Skincare,Moisturizer,1001,689,536.09,369366.01,558,24433.59,46.64,1.08,3.27,629
2023-01-01,East,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,775,2491.0,1930525.0,1107,19727.04,97.83,0.87,4.15,642
2023-01-01,West,Nykaa Matte To Last Liquid Lipstick - Bombay,Makeup,Lipstick,1003,435,1096.72,477073.2,1938,5660.17,19.99,1.19,3.49,618
2023-01-01,East,Nykaa Herbal Teas - Digestive,Wellness,Herbal Teas,1009,353,1233.72,435503.16,1564,42487.26,14.3,0.93,4.04,412
2023-01-01,East,Nykaa SKINRX Hyaluronic Acid Moisturizer,Skincare,Moisturizer,1001,486,1685.43,819118.98,989,45188.23,103.13,0.89,4.25,633
2023-01-01,Central,Nykaa Wanderlust Strawberry Body Yogurt,Fragrance,Perfume,1000,358,2278.28,815624.24,1459,19168.77,90.47,1.01,4.46,664
2023-01-01,East,Nykaa Herbal Teas - Digestive,Wellness,Herbal Teas,1009,277,2405.87,666425.99,1109,41761.86,21.48,1.19,3.9,696
2023-01-01,Central,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,324,2391.06,774703.44,1005,37730.83,13.39,1.11,3.98,510
2023-01-01,South,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,516,2197.0,1133652.0,839,34384.24,57.97,1.17,3.72,428
2023-01-01,South,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,756,1415.78,1070329.68,647,11894.14,58.62,0.96,4.26,670
2023-01-01,North,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,692,525.85,363888.2,1519,14348.23,55.84,1.08,4.26,521
2023-01-01,East,Nykaa SKINRX Vitamin C Serum,Skincare,Serum,1002,653,2155.04,1407241.12,1155,30886.66,20.41,1.17,3.44,653
2023-01-01,East,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,100,2303.37,230337.0,963,11501.15,105.67,0.98,3.58,439
2023-01-01,East,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,241,665.41,160363.81,1900,38345.81,86.61,1.15,4.16,491
2023-01-01,North,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,363,1232.72,447477.36,1263,22632.54,78.77,0.9,4.22,516
2023-01-01,North,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,620,500.37,310229.4,1824,23597.54,83.54,1.08,4.46,670
2023-01-01,South,Nykaa Naturals Tea Tree & Neem Face Wash,Skincare,Facewash,1007,322,447.99,144252.78,1658,34207.98,61.22,1.08,3.13,514
2023-01-01,East,Nykaa Naturals Tea Tree & Neem Face Wash,Skincare,Facewash,1007,561,2476.13,1389108.93,1279,49264.74,69.95,1.0,3.84,657
2023-01-01,East,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,719,2063.36,1483555.84,1740,31776.97,46.98,1.02,3.57,560
2023-01-01,South,Nykaa Naturals Tea Tree & Neem Face Wash,Skincare,Facewash,1007,629,1912.85,1203182.65,1522,42457.29,46.91,0.88,4.81,431
2023-01-01,Central,Nykaa SKINRX Hyaluronic Acid Moisturizer,Skincare,Moisturizer,1001,625,243.42,152137.5,1446,22029.54,103.61,1.1,4.39,469
2023-01-01,South,Nykaa Matte To Last Liquid Lipstick - Bombay,Makeup,Lipstick,1003,515,2478.48,1276417.2,1296,11254.37,55.86,1.02,3.79,415
2023-01-01,North,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,337,1095.19,369079.03,916,34695.85,119.77,0.93,3.17,571
2023-01-01,West,Nykaa Matte To Last Liquid Lipstick - Bombay,Makeup,Lipstick,1003,768,670.7,515097.6,1444,10450.27,81.4,1.05,4.54,611
2023-01-01,East,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,277,545.68,151153.36,1063,35208.38,104.17,0.98,3.71,611
2023-01-01,Central,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,168,1875.62,315104.16,749,25164.67,64.65,1.02,3.39,443
2023-01-01,East,Nykaa Herbal Teas - Digestive,Wellness,Herbal Teas,1009,722,2425.08,1750907.76,1489,45197.16,60.84,0.96,3.29,590
2023-01-01,Central,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,639,1765.65,1128250.35,1927,44447.66,33.69,1.0,4.07,573
2023-01-01,North,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,395,1085.43,428744.85,1525,18666.1,100.68,1.17,4.14,447
2023-01-01,South,Nykaa SKINRX Vitamin C Serum,Skincare,Serum,1002,305,579.52,176753.6,1135,9315.49,37.36,0.9,3.9,545
2023-01-01,North,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,210,1064.46,223536.6,1647,26143.84,44.67,1.1,3.89,539
2023-01-01,North,Nykaa SKINRX Vitamin C Serum,Skincare,Serum,1002,174,1108.69,192912.06,1366,20149.2,18.42,0.96,3.84,501
2023-01-01,North,Nykaa Herbal Teas - Digestive,Wellness,Herbal Teas,1009,727,879.76,639585.52,1033,10350.44,50.59,0.9,3.31,530
2023-01-01,Central,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,641,342.12,219298.92,777,44603.15,52.73,0.85,3.35,628
2023-01-01,Central,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,568,2320.98,1318316.64,841,19367.02,11.07,1.16,3.53,676
2023-01-01,Central,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,487,946.47,460930.89,1104,32038.34,21.06,1.06,4.1,528
2023-01-01,East,Nykaa Naturals Tea Tree & Neem Face Wash,Skincare,Facewash,1007,536,1986.26,1064635.36,562,29898.5,74.45,1.19,3.18,668
2023-01-01,North,Nykaa Matte To Last Liquid Lipstick - Bombay,Makeup,Lipstick,1003,281,2004.2,563180.2,1803,11070.13,43.16,1.0,4.53,675
2023-01-01,North,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,591,1759.83,1040059.53,939,44901.47,102.32,1.18,4.97,406
2023-01-01,West,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,704,402.59,283423.36,742,43802.25,79.43,1.02,3.61,501
2023-01-01,North,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,176,1528.87,269081.12,1156,15568.04,110.76,0.89,3.79,543
2023-01-01,North,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,209,840.94,175756.46,1878,30917.35,25.41,1.19,4.32,403
2023-01-01,North,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,744,2340.98,1741689.12,1577,23027.38,101.0,1.14,4.65,481
2023-01-01,North,Nykaa Naturals Tea Tree & Neem Face Wash,Skincare,Facewash,1007,483,434.34,209786.22,1449,49132.57,83.08,1.02,4.24,457
2023-01-01,East,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,596,1719.58,1024869.68,520,4880.34,86.49,0.99,4.92,571
2023-01-01,South,Nykaa Matte To Last Liquid Lipstick - Bombay,Makeup,Lipstick,1003,629,1947.11,1224732.19,1204,45432.76,14.23,0.91,3.13,673
2023-01-01,South,Nykaa SKINRX Vitamin C Serum,Skincare,Serum,1002,777,367.63,285648.51,574,35599.45,83.55,1.02,3.02,652
2023-01-01,South,Nykaa Wanderlust Strawberry Body Yogurt,Fragrance,Perfume,1000,417,1802.64,751700.88,1901,43225.65,115.09,0.86,3.66,675
2023-01-01,North,Nykaa Herbal Teas - Digestive,Wellness,Herbal Teas,1009,794,1584.06,1257743.64,1329,43278.58,11.74,0.94,3.67,461
2023-01-01,East,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,540,1025.13,553570.2,1347,47609.45,29.07,1.06,3.08,515
2023-01-01,East,Nykaa Wanderlust Strawberry Body Yogurt,Fragrance,Perfume,1000,121,1858.81,224916.01,631,5284.19,29.6,1.04,4.08,676
2023-01-01,North,Nykaa Herbal Teas - Digestive,Wellness,Herbal Teas,1009,438,657.69,288068.22,514,45743.63,44.66,1.05,4.09,439
2023-01-01,South,Nykaa Naturals Tea Tree & Neem Face Wash,Skincare,Facewash,1007,407,1357.18,552372.26,1626,42024.09,22.19,1.08,3.44,438
2023-01-01,South,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,538,2371.11,1275657.18,1080,46196.38,43.84,1.11,4.47,494
2023-01-01,East,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,690,714.5,493005.0,741,17335.99,43.54,0.97,4.34,427
2023-01-01,Central,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,756,1364.94,1031894.64,780,32754.6,37.21,0.93,3.85,690
2023-01-01,West,Nykaa Wanderlust Strawberry Body Yogurt,Fragrance,Perfume,1000,451,352.75,159090.25,1758,26235.78,71.59,1.2,3.36,404
2023-01-01,Central,Nykaa Naturals Tea Tree & Neem Face Wash,Skincare,Facewash,1007,697,510.38,355734.86,1750,37167.88,12.03,1.05,3.84,465
2023-01-01,West,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,386,758.72,292865.92,702,46947.13,108.0,0.93,3.58,486
2023-01-01,North,Nykaa SKINRX Hyaluronic Acid Moisturizer,Skincare,Moisturizer,1001,751,827.28,621287.28,1642,20595.39,18.16,0.99,4.16,447
2023-01-01,North,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,777,303.66,235943.82,1002,31947.62,93.07,1.04,3.55,444
2023-01-01,Central,Nykaa All Day Matte Foundation - Almond,Makeup,Foundation,1008,273,1009.48,275588.04,637,6994.19,92.32,0.88,3.31,404
2023-01-01,North,Nykaa Black Magic Liquid Eyeliner,Makeup,Mascara,1004,126,1528.77,192625.02,1564,22809.82,12.92,1.14,4.74,569
2023-01-01,East,Nykaa Naturals Onion & Fenugreek Hair Oil,Haircare,Hair Oil,1006,255,2492.89,635686.95,608,16600.99,27.74,1.06,4.52,632
2023-01-01,West,Nykaa Naturals Shampoo - Apple Cider Vinegar,Haircare,Shampoo,1005,641,1988.15,1274404.15,1674,46686.23,60.91,1.03,3.46,432
2023-01-01,East,Nykaa Wanderlust Strawberry Body Yogurt,Fragrance,Perfume,1000,383,212.05,81215.15,1634,30733.35,29.41,1.16,4.16,534
