Nykaa_Product_ID,Nykaa_Product_Name,Competitor_Rank,Competitor_Product_ID,Competitor_Product_Name,Similarity_Score
0, Nykaa Cosmetics Get Cheeky Blush Stick - Berry Cute (7.5g),1,9072,Insight Cosmetics - Blush Stick (6.5 gm),0.7336
0, Nykaa Cosmetics Get Cheeky Blush Stick - Berry Cute (7.5g),2,9073,Vega -  Blush Brush,0.6591
0, Nykaa Cosmetics Get Cheeky Blush Stick - Berry Cute (7.5g),3,9074,Swiss Beauty -  Pro Blush & Highlight Palette (18gm),0.6234
1,Kay Beauty Creme Blush (10 ml),1,9071,SUGAR -  Contour De Force Mini Blush (4 gm),0.7174
1,Kay Beauty Creme Blush (10 ml),2,9073,Vega -  Blush Brush,0.6967
1,Kay Beauty Creme Blush (10 ml),3,9074,Swiss Beauty -  Pro Blush & Highlight Palette (18gm),0.6896
2,Kay Beauty Eyeshadow Palette - Pure Bloom (10 gm),1,9061,SUGAR Cosmetics - Blend The Rules Eyeshadow Palette (10 gm),0.8116
2,Kay Beauty Eyeshadow Palette - Pure Bloom (10 gm),2,9060,Lakme -  9 to 5 Eye Color Quartet Eye Shadow (7gm),0.7074
2,Kay Beauty Eyeshadow Palette - Pure Bloom (10 gm),3,9062,Maybelline New York - The Nudes Eyeshadow Palette (9 gm),0.705
3,Kay Beauty Hydrating Foundation (30 gm),1,9055,"Maybelline New York - Liquid Foundation, Matte Finish (30 ml)",0.7178
3,Kay Beauty Hydrating Foundation (30 gm),2,9059,POND'S  - BB+ Cream (30 gm),0.6747
3,Kay Beauty Hydrating Foundation (30 gm),3,9057,Recode Studios - HD Luminous Matte Foundation(30 ml),0.6557
4,Kay Beauty Matte Blush (8.5gm),1,9074,Swiss Beauty -  Pro Blush & Highlight Palette (18gm),0.7247
4,Kay Beauty Matte Blush (8.5gm),2,9071,SUGAR -  Contour De Force Mini Blush (4 gm),0.6986
4,Kay Beauty Matte Blush (8.5gm),3,9073,Vega -  Blush Brush,0.6981
5,Kay Beauty Matteinee Matte Lipstick (1.8 g),1,9051,Maybelline - SuperStay Matte Ink Liquid Lipstick (5 ml),0.7812
5,Kay Beauty Matteinee Matte Lipstick (1.8 g),2,9050,Mamaearth - Creamy Matte Long Stay Lipstick (4.2 gm),0.7618
5,Kay Beauty Matteinee Matte Lipstick (1.8 g),3,9054,L'Oréal Paris -  Color Riche Matte Lipstick (2 gm),0.7598
6,Kay Beauty Volumizing Mascara (12 ml),1,9065,SUGAR POP -  Volumizing Mascara Black (9 ml),0.8265
6,Kay Beauty Volumizing Mascara (12 ml),2,9069,Essence -  Lash Princess False Lash Effect Mascara(12 ml),0.8167
6,Kay Beauty Volumizing Mascara (12 ml),3,9066,Jaquline USA - Lash Perfect Volumizing Mascara (9 ml),0.7711
7,Nykaa All Day Matte Foundation (30 ml),1,9055,"Maybelline New York - Liquid Foundation, Matte Finish (30 ml)",0.7983
7,Nykaa All Day Matte Foundation (30 ml),2,9057,Recode Studios - HD Luminous Matte Foundation(30 ml),0.6945
